Release, Total, TP, FN, TN, FOR, noise, Recall, Total Releases,Relative,Project
4,1176.0,8.0,637.0,531.0,0.5453767123287672,0.5416666666666666,0.012403100775193798,48,0.06382978723404255,SYNCOPE
5,1798.0,97.0,896.0,805.0,0.5267489711934157,0.4983314794215795,0.09768378650553877,48,0.0851063829787234,SYNCOPE
6,1815.0,150.0,860.0,805.0,0.5165165165165165,0.4738292011019284,0.1485148514851485,48,0.10638297872340426,SYNCOPE
7,1815.0,150.0,860.0,805.0,0.5165165165165165,0.4738292011019284,0.1485148514851485,48,0.1276595744680851,SYNCOPE
8,1818.0,155.0,858.0,805.0,0.5159350571256764,0.47194719471947194,0.15301085883514315,48,0.14893617021276595,SYNCOPE
9,1825.0,224.0,796.0,805.0,0.4971892567145534,0.43616438356164383,0.2196078431372549,48,0.1702127659574468,SYNCOPE
10,1825.0,224.0,796.0,805.0,0.4971892567145534,0.43616438356164383,0.2196078431372549,48,0.1914893617021277,SYNCOPE
11,1825.0,224.0,796.0,805.0,0.4971892567145534,0.43616438356164383,0.2196078431372549,48,0.2127659574468085,SYNCOPE
12,1826.0,234.0,787.0,805.0,0.4943467336683417,0.43099671412924423,0.22918707149853085,48,0.23404255319148934,SYNCOPE
13,1826.0,234.0,787.0,805.0,0.4943467336683417,0.43099671412924423,0.22918707149853085,48,0.2553191489361702,SYNCOPE
14,1975.0,950.0,220.0,805.0,0.2146341463414634,0.11139240506329114,0.811965811965812,48,0.2765957446808511,SYNCOPE
15,2173.0,1310.0,58.0,805.0,0.06720741599073002,0.026691210308329497,0.9576023391812866,48,0.2978723404255319,SYNCOPE
16,2173.0,1310.0,58.0,805.0,0.06720741599073002,0.026691210308329497,0.9576023391812866,48,0.3191489361702128,SYNCOPE
17,2209.0,1396.0,8.0,805.0,0.00984009840098401,0.0036215482118605704,0.9943019943019943,48,0.3404255319148936,SYNCOPE
18,2212.0,1403.0,4.0,805.0,0.004944375772558714,0.0018083182640144665,0.9971570717839374,48,0.3617021276595745,SYNCOPE
19,2212.0,1403.0,4.0,805.0,0.004944375772558714,0.0018083182640144665,0.9971570717839374,48,0.3829787234042553,SYNCOPE
20,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.40425531914893614,SYNCOPE
21,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.425531914893617,SYNCOPE
22,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.44680851063829785,SYNCOPE
23,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.4680851063829787,SYNCOPE
24,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.4893617021276596,SYNCOPE
25,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.5106382978723404,SYNCOPE
26,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.5319148936170213,SYNCOPE
27,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.5531914893617021,SYNCOPE
28,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.5744680851063829,SYNCOPE
29,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.5957446808510638,SYNCOPE
30,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.6170212765957447,SYNCOPE
31,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.6382978723404256,SYNCOPE
32,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.6595744680851063,SYNCOPE
33,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.6808510638297872,SYNCOPE
34,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.7021276595744681,SYNCOPE
35,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.7234042553191491,SYNCOPE
36,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.7446808510638298,SYNCOPE
37,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.7659574468085106,SYNCOPE
38,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.7872340425531915,SYNCOPE
39,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.8085106382978723,SYNCOPE
40,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.8297872340425532,SYNCOPE
41,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.851063829787234,SYNCOPE
42,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.8723404255319149,SYNCOPE
43,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.8936170212765957,SYNCOPE
44,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.9148936170212766,SYNCOPE
45,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.9361702127659576,SYNCOPE
46,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.9574468085106383,SYNCOPE
47,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,0.9787234042553192,SYNCOPE
48,2213.0,1408.0,0.0,805.0,0.0,0.0,1.0,48,1.0,SYNCOPE
2,0.0,0.0,0.0,0.0,/0,/0,/0,13,0.08333333333333333,TAJO
3,679.0,1.0,237.0,441.0,0.3495575221238938,0.3490427098674521,0.004201680672268907,13,0.16666666666666666,TAJO
4,713.0,259.0,13.0,441.0,0.028634361233480177,0.0182328190743338,0.9522058823529411,13,0.25,TAJO
