Bug,Releases Slept,Project
SYNCOPE-1046,0,SYNCOPE
SYNCOPE-1337,0,SYNCOPE
SYNCOPE-1128,21,SYNCOPE
SYNCOPE-1239,0,SYNCOPE
SYNCOPE-557,1,SYNCOPE
SYNCOPE-556,0,SYNCOPE
SYNCOPE-1288,22,SYNCOPE
SYNCOPE-710,0,SYNCOPE
SYNCOPE-712,0,SYNCOPE
SYNCOPE-1048,0,SYNCOPE
SYNCOPE-717,0,SYNCOPE
SYNCOPE-716,0,SYNCOPE
SYNCOPE-658,0,SYNCOPE
SYNCOPE-659,0,SYNCOPE
SYNCOPE-323,0,SYNCOPE
SYNCOPE-497,11,SYNCOPE
SYNCOPE-327,0,SYNCOPE
SYNCOPE-328,4,SYNCOPE
SYNCOPE-329,4,SYNCOPE
SYNCOPE-498,15,SYNCOPE
SYNCOPE-499,1,SYNCOPE
SYNCOPE-654,0,SYNCOPE
SYNCOPE-655,0,SYNCOPE
SYNCOPE-656,0,SYNCOPE
SYNCOPE-893,0,SYNCOPE
SYNCOPE-383,0,SYNCOPE
SYNCOPE-381,0,SYNCOPE
SYNCOPE-386,0,SYNCOPE
SYNCOPE-387,0,SYNCOPE
SYNCOPE-384,0,SYNCOPE
SYNCOPE-385,0,SYNCOPE
SYNCOPE-817,0,SYNCOPE
SYNCOPE-814,0,SYNCOPE
SYNCOPE-376,0,SYNCOPE
SYNCOPE-812,1,SYNCOPE
SYNCOPE-813,0,SYNCOPE
SYNCOPE-811,0,SYNCOPE
SYNCOPE-1233,0,SYNCOPE
SYNCOPE-1230,0,SYNCOPE
SYNCOPE-1236,0,SYNCOPE
SYNCOPE-783,0,SYNCOPE
SYNCOPE-781,0,SYNCOPE
SYNCOPE-466,0,SYNCOPE
SYNCOPE-297,3,SYNCOPE
SYNCOPE-462,0,SYNCOPE
SYNCOPE-1039,0,SYNCOPE
SYNCOPE-1333,0,SYNCOPE
SYNCOPE-1049,0,SYNCOPE
SYNCOPE-1331,0,SYNCOPE
SYNCOPE-543,0,SYNCOPE
SYNCOPE-1038,0,SYNCOPE
SYNCOPE-1335,0,SYNCOPE
SYNCOPE-546,16,SYNCOPE
SYNCOPE-547,1,SYNCOPE
SYNCOPE-1034,0,SYNCOPE
SYNCOPE-707,0,SYNCOPE
SYNCOPE-1036,0,SYNCOPE
SYNCOPE-1338,0,SYNCOPE
SYNCOPE-702,7,SYNCOPE
SYNCOPE-1032,0,SYNCOPE
SYNCOPE-1033,0,SYNCOPE
SYNCOPE-881,0,SYNCOPE
SYNCOPE-883,0,SYNCOPE
SYNCOPE-316,0,SYNCOPE
SYNCOPE-669,0,SYNCOPE
SYNCOPE-775,0,SYNCOPE
SYNCOPE-887,0,SYNCOPE
SYNCOPE-312,0,SYNCOPE
SYNCOPE-927,0,SYNCOPE
SYNCOPE-1387,2,SYNCOPE
SYNCOPE-1229,0,SYNCOPE
SYNCOPE-566,0,SYNCOPE
SYNCOPE-1224,0,SYNCOPE
SYNCOPE-1227,0,SYNCOPE
SYNCOPE-1420,0,SYNCOPE
SYNCOPE-1388,2,SYNCOPE
SYNCOPE-310,0,SYNCOPE
SYNCOPE-1002,0,SYNCOPE
SYNCOPE-799,0,SYNCOPE
SYNCOPE-1040,0,SYNCOPE
SYNCOPE-474,0,SYNCOPE
SYNCOPE-475,0,SYNCOPE
SYNCOPE-476,0,SYNCOPE
SYNCOPE-1303,14,SYNCOPE
SYNCOPE-315,0,SYNCOPE
SYNCOPE-308,0,SYNCOPE
SYNCOPE-576,0,SYNCOPE
SYNCOPE-571,0,SYNCOPE
SYNCOPE-267,1,SYNCOPE
SYNCOPE-572,0,SYNCOPE
SYNCOPE-1026,0,SYNCOPE
SYNCOPE-1025,0,SYNCOPE
SYNCOPE-301,0,SYNCOPE
SYNCOPE-306,3,SYNCOPE
SYNCOPE-1044,0,SYNCOPE
SYNCOPE-672,0,SYNCOPE
SYNCOPE-673,2,SYNCOPE
SYNCOPE-670,0,SYNCOPE
SYNCOPE-671,0,SYNCOPE
SYNCOPE-892,0,SYNCOPE
SYNCOPE-677,0,SYNCOPE
SYNCOPE-891,0,SYNCOPE
SYNCOPE-678,0,SYNCOPE
SYNCOPE-459,3,SYNCOPE
SYNCOPE-953,0,SYNCOPE
SYNCOPE-898,0,SYNCOPE
SYNCOPE-884,0,SYNCOPE
SYNCOPE-1417,0,SYNCOPE
SYNCOPE-1393,0,SYNCOPE
SYNCOPE-1253,0,SYNCOPE
SYNCOPE-1411,0,SYNCOPE
SYNCOPE-1399,8,SYNCOPE
SYNCOPE-1251,0,SYNCOPE
SYNCOPE-1252,0,SYNCOPE
SYNCOPE-886,0,SYNCOPE
SYNCOPE-551,0,SYNCOPE
SYNCOPE-285,10,SYNCOPE
SYNCOPE-878,0,SYNCOPE
SYNCOPE-440,1,SYNCOPE
SYNCOPE-568,2,SYNCOPE
SYNCOPE-549,0,SYNCOPE
SYNCOPE-578,1,SYNCOPE
SYNCOPE-664,0,SYNCOPE
SYNCOPE-562,0,SYNCOPE
SYNCOPE-686,0,SYNCOPE
SYNCOPE-872,6,SYNCOPE
SYNCOPE-684,0,SYNCOPE
SYNCOPE-683,0,SYNCOPE
SYNCOPE-682,0,SYNCOPE
SYNCOPE-564,0,SYNCOPE
SYNCOPE-565,0,SYNCOPE
SYNCOPE-1070,1,SYNCOPE
SYNCOPE-294,0,SYNCOPE
SYNCOPE-879,0,SYNCOPE
SYNCOPE-1012,0,SYNCOPE
SYNCOPE-1013,0,SYNCOPE
SYNCOPE-1010,0,SYNCOPE
SYNCOPE-554,1,SYNCOPE
SYNCOPE-373,0,SYNCOPE
SYNCOPE-372,0,SYNCOPE
SYNCOPE-1014,0,SYNCOPE
SYNCOPE-768,0,SYNCOPE
SYNCOPE-769,0,SYNCOPE
SYNCOPE-793,0,SYNCOPE
SYNCOPE-837,0,SYNCOPE
SYNCOPE-1027,0,SYNCOPE
SYNCOPE-601,2,SYNCOPE
SYNCOPE-600,2,SYNCOPE
SYNCOPE-944,0,SYNCOPE
SYNCOPE-762,0,SYNCOPE
SYNCOPE-947,0,SYNCOPE
SYNCOPE-940,0,SYNCOPE
SYNCOPE-668,0,SYNCOPE
SYNCOPE-1248,0,SYNCOPE
SYNCOPE-1404,8,SYNCOPE
SYNCOPE-1407,0,SYNCOPE
SYNCOPE-1408,0,SYNCOPE
SYNCOPE-1241,0,SYNCOPE
SYNCOPE-1246,0,SYNCOPE
SYNCOPE-1008,0,SYNCOPE
SYNCOPE-457,0,SYNCOPE
SYNCOPE-454,0,SYNCOPE
SYNCOPE-455,0,SYNCOPE
SYNCOPE-452,0,SYNCOPE
SYNCOPE-453,0,SYNCOPE
SYNCOPE-1168,18,SYNCOPE
SYNCOPE-845,6,SYNCOPE
SYNCOPE-844,0,SYNCOPE
SYNCOPE-515,1,SYNCOPE
SYNCOPE-1066,1,SYNCOPE
SYNCOPE-691,0,SYNCOPE
SYNCOPE-458,3,SYNCOPE
SYNCOPE-1004,0,SYNCOPE
SYNCOPE-1007,0,SYNCOPE
SYNCOPE-368,1,SYNCOPE
SYNCOPE-369,0,SYNCOPE
SYNCOPE-1003,0,SYNCOPE
SYNCOPE-364,1,SYNCOPE
SYNCOPE-365,1,SYNCOPE
SYNCOPE-1190,1,SYNCOPE
SYNCOPE-361,1,SYNCOPE
SYNCOPE-567,0,SYNCOPE
SYNCOPE-597,0,SYNCOPE
SYNCOPE-758,0,SYNCOPE
SYNCOPE-976,1,SYNCOPE
SYNCOPE-759,0,SYNCOPE
SYNCOPE-598,0,SYNCOPE
SYNCOPE-929,1,SYNCOPE
SYNCOPE-739,0,SYNCOPE
SYNCOPE-916,0,SYNCOPE
SYNCOPE-915,0,SYNCOPE
